n,avg_deg_target,m,cut,flips,passes,time_sec,seed_graph,seed_local,edges_sha256
400,8.0,1640,1164,160,161,0.015501814999993258,20251127616048,12445126846125297476,acb5ea86fabd5d749ce7cb9b3eda43a17bf50fc3aa79fcff69280097e687e791
400,8.0,1468,1036,162,163,0.06927161000000126,20251127616049,16444379655733617838,e4363e40aeed369ffa8edd88ad5bf989c1e54d4ac1c763e4fce2159d667e54ba
400,8.0,1636,1172,176,177,0.01634130499999742,20251127616050,18096402037308795868,fb2347ad3f36b9eef371b86f4dfbd651c32c7d9f0976e74a19150359c1eb33be
400,8.0,1674,1188,188,189,0.01775710899998728,20251127616051,16032034338686579103,de7d28213d03a3ac3c13e0e8d6dab86bd470c33a09a1f0bd98090e91616894f0
400,8.0,1536,1110,166,167,0.015759016000004067,20251127616052,13753748753939351720,bedf33f41dc25a9c1095a4149a9cadc23f47d45ac0120ea2231bb5333968dd42
400,8.0,1636,1155,166,167,0.01661236600000393,20251127616053,15938280295157676473,dd303710ce3fab8cfda16e2d877456445795eae5ec1c91150dc1305f814134f0
800,8.0,3119,2209,336,337,0.07372974899999463,20251130783639,4817061882505027835,42d9b6298abd876c2bf59eb99bd19713ae54cdc3deffc161719ea97e97162de7
800,8.0,3204,2231,300,301,0.13921150999999554,20251130783640,6304491789173230229,577e1f8a3a7d6d0d7f3513dc361e3e9a5204c13cd7cda42fa6e27e28829af516
800,8.0,3136,2226,337,338,0.07667104800000857,20251130783641,8619256240010783679,779dad89389d8c26e561cacb5b3e5d78ec3e5b94481cd117301f233429287d5f
800,8.0,3152,2235,352,353,0.08432258199999865,20251130783642,3954163323181503503,36e010fcb36873957825fdabb2220bdc2c05e6679d720e7944796363f57732d5
800,8.0,3212,2255,307,308,0.06040510399999732,20251130783643,11231145836855774706,9bdd19c93f11aa695a8793c21ed09d05db5d12c2c20d2a3188d2992500c0862e
800,8.0,3198,2274,324,325,0.14905439000000342,20251130783644,9443182944444912123,830cfeb00dde7667f4122a5554448e3383a53625640de97557ca9c3c1d2cb982
800,8.0,3220,2283,329,330,0.08407748300000151,20251130783645,15108002370925539312,d1aa7a774db2486d7e110be62f9ea1c92c8bc10edbc932e536db8adbc595c621
800,8.0,3081,2212,291,292,0.06280612300000143,20251130783646,12116912910324525966,a827fe7317480c10b23b5d83300c07e08755a2fa8189c679362eff99059172b6
800,8.0,3259,2305,357,358,0.07491336699999351,20251130783647,10129909470071412277,8c94b895070c31aa6f720fa474acf99236cdc64460f817888c07f34b7b8f6c4a
800,8.0,3108,2227,315,316,0.06683562199999926,20251130783648,4724613523819875447,4191209cd13eabd7351a494f3dab6cad40122c5608310f0fcc0710b24ccddfca
800,8.0,3208,2253,360,361,0.07256009300000699,20251130783649,14746881642271934351,cca760d3bd2de02e2868c938502938dea667476ffd5396ca8fd53251f28dff28
800,8.0,3189,2251,327,328,0.07566969100000165,20251130783650,6857130165155273569,5f2979e6edc6fcc3ee7aed90b77deb574a8f25e96c86b0b513b7e40544142f10
800,8.0,3172,2219,313,314,0.055170647000011286,20251130783651,12044774581834820504,a727b0c1989fcc3b8d9b081487a4f30e7d109393f6cfb42534509d0231a2ee82
800,8.0,3277,2344,319,320,0.07722563400000126,20251130783652,15819444601369084712,db89e767dde7a48cbe7542ddd3a521f4cb697105fc3f016dc363200d6f930d42
800,8.0,3242,2258,328,329,0.07000963899999135,20251130783653,10271863251141033636,8e8cef5f5cd29901cbea11613ba56520a64093b72ea3a91177ccaaa75743cd9a
1600,8.0,6351,4494,639,640,0.28445297799999025,20251137118839,3036218101905270138,2a22c22de579370de78012ba260bcea08fc1fcd3c9691471e01e6472ee7634b8
1600,8.0,6446,4601,653,654,0.2733310370000055,20251137118840,8649531829439795400,78095d3432e402b0ce905b803bf4df20d8ce2537f2d74731729e5a1a35b78af2
1600,8.0,6404,4501,621,622,0.24509452100001283,20251137118841,7974843181720815802,6eac47f41c3fdac30af1468a06ac80274fefe9489b29f7b9e668962306389c6d
1600,8.0,6405,4513,675,676,0.26067379299999516,20251137118842,9914572233804819024,8997b081aa36b82a79471c7e15fd07b24b991278bbc6d1b7841fdb1a316ea600
1600,8.0,6309,4488,669,670,0.29156597099999715,20251137118843,15089052812395288278,d16707fd7a3b84ad0af7ab40640e5d7663b1a1c51997915977191c6603d7789a
